,n_init,init,algorithm,silhouette_score,calinski_harabasz_score,davies_bouldin_score,n_clusters
0,10,k-means++,auto,0.256827872,12142.85612,1.864675664,2
1,10,k-means++,auto,0.129322126,10122.62339,2.240086516,3
2,10,k-means++,full,0.256827872,12142.85612,1.864675664,2
3,10,k-means++,full,0.129322126,10122.62339,2.240086516,3
4,10,k-means++,elkan,0.256827872,12142.85612,1.864675664,2
5,10,k-means++,elkan,0.129322126,10122.62339,2.240086516,3
6,10,random,auto,0.256827872,12142.85612,1.864675664,2
7,10,random,auto,0.129378826,10122.63036,2.239980367,3
8,10,random,full,0.256827872,12142.85612,1.864675664,2
9,10,random,full,0.129378826,10122.63036,2.239980367,3
10,10,random,elkan,0.256827872,12142.85612,1.864675664,2
11,10,random,elkan,0.129378826,10122.63036,2.239980367,3
12,100,k-means++,auto,0.256827872,12142.85612,1.864675664,2
13,100,k-means++,auto,0.129374348,10122.62977,2.240041559,3
