,max_depth,min_samples_split,min_samples_leaf,training_prediction_score,Homogeneity Score,Completeness Score,V_measure Score,Accuracy Score,Balanced Accuracy Score,F1 Score
0,26.0,12.0,1.0,0.9288318771147483,0.3158156838477607,0.35766511518573935,0.33544015836226904,0.8939833635624492,0.7850518585305069,0.6776457164590662
1,26.0,2.0,1.0,0.9474150817129383,0.3182332115639255,0.35274465887764217,0.33460139477559475,0.8932641190818688,0.7894542496133394,0.6805435962711991
2,26.0,22.0,1.0,0.9199788603343569,0.3095544547846191,0.35405891433700104,0.3303143646255809,0.8928888610920007,0.7807083863515578,0.6719911131540642
3,25.0,2.0,1.0,0.9423693937669259,0.313799579597677,0.3520810995135885,0.3318399361252252,0.8928638438926763,0.7855750822821447,0.6764505893019039
4,25.0,12.0,1.0,0.9256984533019782,0.30940282307273165,0.3537528290793661,0.33009482353629416,0.8928263180936894,0.7806970060112832,0.6718875655803622
5,25.0,22.0,1.0,0.9175990843647781,0.30362320467463677,0.3499768535160123,0.32515631690926866,0.891731815623241,0.776836366790487,0.6666153105440539
6,24.0,2.0,1.0,0.9369093558656317,0.30565517108044804,0.3487963997978718,0.3258038577533945,0.8917005441240853,0.7792850774909594,0.6688974721786685
7,24.0,12.0,1.0,0.9222554397112998,0.3021846203635801,0.3502886124912147,0.32446336816057497,0.8916567640252674,0.775328610617207,0.6650553955026199
8,26.0,32.0,1.0,0.9142264320872605,0.3024676495596823,0.3483415988714631,0.3237878530721595,0.8913690662330352,0.7764404249621568,0.665704332428739
9,23.0,2.0,1.0,0.9309677338653691,0.29958503754924887,0.3461808004203784,0.32120184127066187,0.8907749077490775,0.7746155723227833,0.6630782883821429
10,24.0,22.0,1.0,0.9148737561683418,0.2969160852039245,0.34715787770287043,0.32007739462107554,0.8906936018512728,0.7716286727824639,0.6600400708047228
11,23.0,12.0,1.0,0.9182604807084915,0.29574046675323434,0.3466879738664057,0.3191940354013319,0.8905122271561698,0.7706997464177621,0.6588588354509314
12,26.0,42.0,1.0,0.9099093746286486,0.2973736147259613,0.3448732299822202,0.31936692213296647,0.8903746325598849,0.773056685596045,0.660980232873003
13,25.0,32.0,1.0,0.9121828268361175,0.29687785584114473,0.34447872576189453,0.31891184536211303,0.8902683094627556,0.7727503216480097,0.6605266722133004
14,22.0,2.0,1.0,0.9253122478719612,0.2935312854376295,0.3439916432704189,0.3167644791492935,0.8898930514728877,0.7697313937509844,0.657003136750638
15,22.0,12.0,1.0,0.9145985652546454,0.29078051819920536,0.3448801683699631,0.3155281935603383,0.8897617111764338,0.7666871066426302,0.653753977920088
16,24.0,32.0,1.0,0.9098546491628567,0.29147120924842373,0.3425140161473106,0.31493785808233904,0.8894740133842016,0.7683756381320401,0.655045871559633
17,23.0,22.0,1.0,0.9117418959403086,0.29051333153199116,0.3429451994459499,0.31455935172310595,0.889448996184877,0.7672605701921791,0.6538868220090073
18,25.0,42.0,1.0,0.9081612868927819,0.2921324066323416,0.34109674175722415,0.31472149479349565,0.8893114015885921,0.7696309213970773,0.6560690271677874
19,24.0,42.0,1.0,0.9061724071074307,0.28662599214694395,0.3390057465211921,0.31062317473536744,0.8884795797110513,0.7651796671385434,0.6503931141305413
20,22.0,22.0,1.0,0.9088961717191302,0.2850401870646571,0.3399196758541723,0.31007037008715926,0.888460816811558,0.7632368739878806,0.6483694151977601
21,26.0,52.0,1.0,0.9063475285979649,0.28983765197027345,0.33638396600012155,0.3113809426826039,0.8883419851147664,0.7694545261228218,0.6545137880986938
22,23.0,32.0,1.0,0.9072684800080055,0.2850179434532868,0.33767564115940035,0.30912030949342595,0.8881230846206767,0.7641840045518727,0.6488693467336684
23,21.0,2.0,1.0,0.9188890417727298,0.28103794981376307,0.33598043136129857,0.30606301040011696,0.8874788917380699,0.7610142097893904,0.6446783718128494
24,21.0,12.0,1.0,0.91002507989918,0.27877912018914736,0.33735620976824443,0.305283150557331,0.8874413659390831,0.7582015856172934,0.6416582044083389
25,25.0,52.0,1.0,0.9047823802763167,0.28515632850637923,0.3331376333426178,0.30728524059073936,0.8874100944399275,0.7662967595228303,0.650025273144368
26,22.0,32.0,1.0,0.904794888954212,0.2797828868109657,0.3345094063152032,0.3047083885360335,0.8871349052473576,0.7604151368532661,0.6435710053328066
27,23.0,42.0,1.0,0.9038567381120652,0.2802834263405082,0.33393571094858954,0.3047662945027081,0.8870973794483707,0.7611566997342382,0.644295566502463
28,26.0,62.0,1.0,0.903261012327302,0.2845606790417334,0.3311014834716755,0.3060719618817673,0.887016073550566,0.7666059649349767,0.6497877207607159
29,24.0,52.0,1.0,0.903015529523607,0.2800636665039239,0.3315771491163393,0.30365112902502583,0.8867096128588404,0.7619659705705033,0.644600533668184
